timestamp,open,high,low,close,volume
2019-10-16,0.3400,0.3400,0.3200,0.3264,645008
2019-10-15,0.3411,0.3600,0.3331,0.3410,284432
2019-10-14,0.3500,0.3800,0.3400,0.3401,297366
2019-10-11,0.3500,0.3690,0.3500,0.3549,263652
2019-10-10,0.3600,0.3800,0.3600,0.3690,113800
2019-10-09,0.3875,0.3875,0.3500,0.3600,202601
2019-10-08,0.3700,0.3875,0.3700,0.3800,170218
2019-10-07,0.3900,0.3900,0.3700,0.3860,144753
2019-10-04,0.3700,0.3900,0.3686,0.3890,279060
2019-10-03,0.3700,0.3700,0.3560,0.3600,256258
2019-10-02,0.3600,0.3800,0.3503,0.3636,176898
2019-10-01,0.3800,0.3800,0.3520,0.3570,549395
2019-09-30,0.3500,0.3900,0.3400,0.3810,917692
2019-09-27,0.3500,0.3500,0.3330,0.3400,204120
2019-09-26,0.3300,0.3500,0.3300,0.3480,549342
2019-09-25,0.3350,0.3600,0.3330,0.3330,450902
2019-09-24,0.3500,0.3698,0.3100,0.3400,895769
